time,temp_c,condition,wind_kph,wind_degree,wind_dir,precip_mm,humidity,cloud,feelslike_c,windchill_c,heatindex_c,vis_km,uv,gust_kph
2025-05-05 19:15,7.3,Light rain,13.7,52,NE,0.33,93,75,4.8,3.0,5.8,10.0,0.0,19.8
2025-05-05 19:30,6.2,Light rain,13.7,52,NE,0.33,93,100,3.4,3.0,5.8,10.0,0.0,19.8
2025-05-05 19:45,7.0,Light rain,13.7,52,NE,0.33,93,75,4.4,3.0,5.8,10.0,0.0,19.8
2025-05-05 20:00,6.4,Light rain,11.5,56,ENE,0.51,93,100,4.0,3.4,5.9,10.0,0.0,16.5
2025-05-05 20:15,7.3,Light rain,11.5,56,ENE,0.51,93,100,5.1,3.4,5.9,10.0,0.0,16.5
2025-05-05 20:30,6.1,Light drizzle,11.5,56,ENE,0.51,93,100,3.7,3.4,5.9,10.0,0.0,16.5
2025-05-05 20:45,7.3,Light rain,11.5,56,ENE,0.51,93,75,5.1,3.4,5.9,10.0,0.0,16.5
2025-05-05 21:00,7.3,Light rain,12.2,67,ENE,0.41,93,75,5.0,3.2,5.8,10.0,0.0,17.5
2025-05-05 21:15,6.1,Light rain,12.2,67,ENE,0.41,100,100,3.6,3.2,5.8,10.0,0.0,17.5
2025-05-05 21:30,7.3,Light rain,12.2,67,ENE,0.41,93,100,5.0,3.2,5.8,10.0,0.0,17.5
2025-05-05 21:45,7.0,Light rain,12.2,67,ENE,0.41,93,100,4.6,3.2,5.8,10.0,0.0,17.5
2025-05-05 22:00,7.4,Light rain,13.3,73,ENE,0.25,93,100,5.0,2.8,5.6,10.0,0.0,19.2
2025-05-05 22:15,6.1,Moderate rain,13.3,73,ENE,0.25,93,100,3.4,2.8,5.6,7.0,0.0,19.2
2025-05-05 22:30,7.3,Light rain,13.3,73,ENE,0.25,93,75,4.8,2.8,5.6,10.0,0.0,19.2
2025-05-05 22:45,7.0,Light rain,13.3,73,ENE,0.25,93,75,4.5,2.8,5.6,10.0,0.0,19.2
2025-05-05 23:00,6.3,Moderate rain,15.1,68,ENE,0.27,100,100,3.3,2.3,5.4,8.0,0.0,21.9
2025-05-05 23:15,6.1,Moderate rain,15.1,68,ENE,0.27,93,100,3.1,2.3,5.4,10.0,0.0,21.9
2025-05-05 23:30,7.2,Light rain,15.1,68,ENE,0.27,93,100,4.4,2.3,5.4,8.0,0.0,21.9
2025-05-05 23:45,7.3,Light rain,15.1,68,ENE,0.27,93,100,4.6,2.3,5.4,8.0,0.0,21.9
2025-05-06 00:00,7.3,Light rain,14.4,57,ENE,0.14,93,100,4.7,2.4,5.4,8.0,0.0,21.2
2025-05-06 00:15,6.3,Overcast,14.4,57,ENE,0.14,93,100,3.4,2.4,5.4,10.0,0.0,21.2
2025-05-06 00:30,7.4,Light rain,14.4,57,ENE,0.14,93,100,4.8,2.4,5.4,10.0,0.0,21.2
2025-05-06 00:45,6.2,Moderate rain,14.4,57,ENE,0.14,93,100,3.3,2.4,5.4,10.0,0.0,21.2
2025-05-06 01:00,6.3,Moderate rain,14.4,57,ENE,0.14,93,100,3.4,2.4,5.4,10.0,0.0,21.2
2025-05-06 01:15,7.0,Light rain,14.8,59,ENE,0.07,87,75,4.3,1.5,4.8,10.0,0.0,21.4
2025-05-06 01:30,6.2,Overcast,14.8,59,ENE,0.07,93,100,3.3,1.5,4.8,10.0,0.0,21.4
2025-05-06 01:45,6.3,Overcast,14.8,59,ENE,0.07,93,100,3.4,1.5,4.8,10.0,0.0,21.4
2025-05-06 02:00,6.1,Overcast,14.4,58,ENE,0.09,93,100,3.2,1.6,4.8,10.0,0.0,20.8
2025-05-06 02:15,6.0,Light rain,14.4,58,ENE,0.09,93,100,3.1,1.6,4.8,10.0,0.0,20.8
2025-05-06 02:30,6.3,Light rain,14.4,58,ENE,0.09,93,100,3.4,1.6,4.8,10.0,0.0,20.8
2025-05-06 02:45,6.3,Light rain,14.4,58,ENE,0.09,93,100,3.4,1.6,4.8,10.0,0.0,20.8
2025-05-06 03:00,6.4,Light rain,14.4,62,ENE,0.24,93,100,3.6,1.4,4.6,10.0,0.0,21.2
2025-05-06 05:00,5.0,Light rain,14.0,58,ENE,0.16,93,100,1.9,1.4,4.6,10.0,0.0,20.7
2025-05-06 05:15,6.3,Light rain,14.0,58,ENE,0.16,93,75,3.5,1.4,4.6,10.0,0.0,20.7
2025-05-06 05:30,6.1,Light rain,14.0,58,ENE,0.16,93,100,3.3,1.4,4.6,10.0,0.0,20.7
2025-05-06 05:45,6.3,Light rain,14.0,58,ENE,0.16,93,100,3.5,1.4,4.6,10.0,0.0,20.7
2025-05-06 05:45,6.3,Light rain,14.0,58,ENE,0.16,93,100,3.5,1.4,4.6,10.0,0.0,20.7
2025-05-06 06:00,5.0,Moderate rain,13.7,63,ENE,0.1,93,100,2.0,1.5,4.6,10.0,0.0,19.6
2025-05-06 06:15,6.3,Moderate rain,13.7,63,ENE,0.1,93,100,3.6,1.5,4.6,10.0,0.0,19.6
2025-05-06 06:30,6.4,Moderate rain,13.7,63,ENE,0.1,100,100,3.7,1.5,4.6,10.0,0.0,19.6
2025-05-06 06:45,6.3,Moderate rain,13.7,63,ENE,0.1,100,100,3.6,1.5,4.6,10.0,0.0,19.6
2025-05-06 07:00,6.2,Moderate rain,13.0,64,ENE,0.07,100,100,3.6,1.8,4.7,10.0,0.0,17.8
2025-05-06 07:30,6.4,Moderate rain,12.6,67,ENE,0.11,100,100,3.9,1.8,4.7,10.0,0.0,17.3
2025-05-06 07:45,6.1,Moderate rain,12.6,67,ENE,0.11,100,100,3.5,1.8,4.7,10.0,0.0,17.3
2025-05-06 08:00,5.4,Light rain,12.6,67,ENE,0.06,93,100,2.6,2.0,4.9,10.0,0.1,17.1
2025-05-06 08:15,7.1,Light rain,12.6,67,ENE,0.06,93,75,4.7,2.0,4.9,10.0,0.1,17.1
2025-05-06 08:30,5.2,Overcast,12.6,67,ENE,0.06,93,100,2.4,2.0,4.9,10.0,0.1,17.1
2025-05-06 08:45,7.2,Patchy rain nearby,12.6,67,ENE,0.06,87,25,4.8,2.0,4.9,10.0,0.1,17.1
2025-05-06 09:00,5.1,Overcast,12.2,68,ENE,0.05,93,100,2.3,2.7,5.4,10.0,0.3,16.1
2025-05-06 09:15,7.2,Partly cloudy,12.2,68,ENE,0.05,81,50,4.9,2.7,5.4,10.0,0.3,16.1
2025-05-06 09:30,8.1,Partly cloudy,12.2,68,ENE,0.05,81,50,6.0,2.7,5.4,10.0,0.3,16.1
2025-05-06 09:45,8.4,Partly cloudy,12.2,68,ENE,0.05,81,50,6.3,2.7,5.4,10.0,0.3,16.1
2025-05-06 10:00,8.2,Partly cloudy,12.6,69,ENE,0.04,81,50,6.0,3.7,6.3,10.0,0.6,16.0
2025-05-06 10:15,9.0,Partly cloudy,12.6,69,ENE,0.04,71,75,7.0,3.7,6.3,10.0,0.6,16.0
2025-05-06 10:30,9.1,Partly cloudy,12.6,69,ENE,0.04,71,75,7.1,3.7,6.3,10.0,0.6,16.0
2025-05-06 10:45,9.1,Partly cloudy,12.6,69,ENE,0.04,71,75,7.1,3.7,6.3,10.0,0.6,16.0
2025-05-06 11:00,9.2,Partly cloudy,11.2,79,E,0.03,71,75,7.5,4.6,6.8,10.0,1.1,14.3
2025-05-06 11:15,9.0,Partly cloudy,11.2,79,E,0.03,66,75,7.2,4.6,6.8,10.0,1.1,14.3
2025-05-06 11:30,7.0,Overcast,11.2,79,E,0.03,81,100,4.8,4.6,6.8,10.0,1.1,14.3
2025-05-06 11:45,9.1,Overcast,11.2,79,E,0.03,71,100,7.4,4.6,6.8,10.0,1.1,14.3
2025-05-06 12:00,7.2,Overcast,10.4,87,E,0.03,81,100,5.2,5.6,7.5,10.0,1.2,13.0
